target_id	test_stat	pval	qval
ABV71560.1	13.1118147140008	0.000293439304064768	0.0164734245678861
ABV71604.1	12.8155125038251	0.000343757231479351	0.0164734245678861
ABV71652.1	12.6304929427397	0.000379505089736865	0.0164734245678861
ABV71622.1	12.47771516596	0.000411835614197152	0.0164734245678861
ABV71646.1	11.1981987345399	0.000818767726381076	0.0203418546724704
ABV71651.1	11.0682240396601	0.000878197559216923	0.0203418546724704
ABV71649.1	11.0435639074182	0.000889956141920581	0.0203418546724704
ABV71626.1	10.2641763706979	0.00135638277631355	0.0271276555262709
ABV71595.1	9.53964677202869	0.00201080437814499	0.0357476333892444
ABV71519.1	8.69657380933725	0.00318808731768864	0.0483245728256593
ABV71596.1	8.61091361048191	0.00334154645587279	0.0483245728256593
ABV71506.1	8.46304648905962	0.00362434296192445	0.0483245728256593
